GSUID,spectrum_id,spectral_entropy,peak_density,fractal_complexity,variance_stability,symmetry_complexity_score,cross_modal_complexity,overall_complexity_index
000ac7b198457345e0787adac5b526cef245000f,SPC-001335,7.236043588548084,0.0019038553069966682,0.028000000000000025,0.4654904821431693,0.7142857142857143,0.7249812791383841,0.7052391599480794
001ff623263fc966652bddd614d3fa39b8da2367,SPC-001244,7.1695178196374725,0.0019038553069966682,0.07600000000000007,0.37158967962210293,0.7142857142857143,0.7250484665681477,0.6737324612803722
002342928542d7217206252b32945ea3a5f66f5d,SPC-000750,7.038146831773398,0.0014278914802475012,0.2330000000000001,0.371233937862306,0.5714285714285714,0.5935895609520144,0.6366628230473786
002cde1746bb9f4d533e8ed6550fd2e941b59c25,SPC-001129,6.716092814800552,0.0009519276534983341,0.014999999999999902,0.33700428493980444,0.1428571428571429,0.1359449902620415,0.36441915542663406
0031183577a903a1697e917b224bc7969867631a,SPC-000386,6.670334075155204,0.0009519276534983341,0.0,0.5071177642023597,0.4285714285714286,0.3988210652656479,0.43924501556364287
005bf1cf93bfd1494160dba01f9cfdd0d452b2e9,SPC-000480,7.570290356927197,0.002379819133745835,0.030999999999999917,0.3867048236297781,0.7142857142857143,0.7587076510561536,0.812111495666774
00a3eeace8d04f6c87b639b62e88fb5267168c36,SPC-000555,7.452781374977689,0.002379819133745835,0.014000000000000012,0.3309789288288512,0.7142857142857143,0.7446261477716785,0.7528761093521856
00c8b30865ff037fdcfc596f47cab425261b9718,SPC-000784,7.1335185063768245,0.0009519276534983341,0.04899999999999993,0.2864721329469839,0.5714285714285714,0.5755226697217471,0.6056716313703596
00d40057f9003990547ffe6db427dc9a407f931b,SPC-000732,7.288799489834631,0.0014278914802475012,0.07000000000000006,0.30336089866837196,0.5714285714285714,0.5908314484673094,0.6716694050499581
013670f8d0b1657d945a0ba5b77b13bd5e2e0791,SPC-001584,6.736556487969033,0.034745359352689194,1.0,0.14386894075141562,0.1428571428571429,0.27377080017720534,0.5895100505705194
014bad7a2a6d8decbc7910be18af1bc535919cf4,SPC-001674,7.233847016513685,0.0019038553069966682,0.04699999999999993,0.4786776535885372,0.2857142857142857,0.29489943632868304,0.6223483944817771
016caae635be1c100c494426a6fedd6e29af88d7,SPC-000345,7.322596106761923,0.0019038553069966682,0.28400000000000003,0.327083647274341,0.4285714285714286,0.4774410051794612,0.7151626598776902
0172ce2450b3bf18144810b4093c4583e464d14a,SPC-000994,7.084090013848504,0.0014278914802475012,0.026999999999999913,0.2604384116459857,0.2857142857142857,0.2861398828675395,0.5164364685729903
019335302582da34031ab4aafe63692e11720611,SPC-001619,6.835667664950767,0.0009519276534983341,0.236,0.4802643443838529,0.2857142857142857,0.30539544450787104,0.5261484933914968
