GSUID,spectrum_id,mineral_id,source,entropy,peak_count,fractal_dimension,spectral_variance,crystal_system,space_group,symmetry_index,symmetry_complexity_score,spectral_rugosity,information_complexity,amplitude_entropy,distribution_skewness,complexity_score
000ac7b198457345e0787adac5b526cef245000f,SPC-001335,15,USGS,7.236043588548084,4,1.028,2.1527391197864616,Monoclinic,C2/m,0.2857142857142857,0.7142857142857143,0.028000000000000025,0.7249812791383841,7.236043588548084,0.0019038553069966682,0.7052391599480794
001ff623263fc966652bddd614d3fa39b8da2367,SPC-001244,14,USGS,7.1695178196374725,4,1.076,4.425664620128938,Monoclinic,C2/m,0.2857142857142857,0.7142857142857143,0.07600000000000007,0.7250484665681477,7.1695178196374725,0.0019038553069966682,0.6737324612803722
002342928542d7217206252b32945ea3a5f66f5d,SPC-000750,9,RELAB,7.038146831773398,3,1.233,4.439674570135832,Orthorhombic,Pbca,0.42857142857142855,0.5714285714285714,0.2330000000000001,0.5935895609520144,7.038146831773398,0.0014278914802475012,0.6366628230473786
002cde1746bb9f4d533e8ed6550fd2e941b59c25,SPC-001129,13,USGS,6.716092814800552,2,1.015,6.151494251451306,Hexagonal,P6/mcc,0.8571428571428571,0.1428571428571429,0.014999999999999902,0.1359449902620415,6.716092814800552,0.0009519276534983341,0.36441915542663406
0031183577a903a1697e917b224bc7969867631a,SPC-000386,5,USGS,6.670334075155204,2,1.0,1.6430367892843218,Tetragonal,P4_2/mnm,0.5714285714285714,0.4285714285714286,0.0,0.3988210652656479,6.670334075155204,0.0009519276534983341,0.43924501556364287
005bf1cf93bfd1494160dba01f9cfdd0d452b2e9,SPC-000480,7,RELAB,7.570290356927197,5,1.031,3.8839372602010953,Monoclinic,C2/c,0.2857142857142857,0.7142857142857143,0.030999999999999917,0.7587076510561536,7.570290356927197,0.002379819133745835,0.812111495666774
00a3eeace8d04f6c87b639b62e88fb5267168c36,SPC-000555,7,RELAB,7.452781374977689,5,1.014,6.548435869119252,Monoclinic,C2/c,0.2857142857142857,0.7142857142857143,0.014000000000000012,0.7446261477716785,7.452781374977689,0.002379819133745835,0.7528761093521856
00c8b30865ff037fdcfc596f47cab425261b9718,SPC-000784,10,RELAB,7.1335185063768245,2,1.049,11.070216002428385,Orthorhombic,Pbca,0.42857142857142855,0.5714285714285714,0.04899999999999993,0.5755226697217471,7.1335185063768245,0.0009519276534983341,0.6056716313703596
00d40057f9003990547ffe6db427dc9a407f931b,SPC-000732,9,RELAB,7.288799489834631,3,1.07,8.938377091849917,Orthorhombic,Pbca,0.42857142857142855,0.5714285714285714,0.07000000000000006,0.5908314484673094,7.288799489834631,0.0014278914802475012,0.6716694050499581
013670f8d0b1657d945a0ba5b77b13bd5e2e0791,SPC-001584,18,RRUFF,6.736556487969033,73,2.0,383.0491636695684,Hexagonal,P63/m,0.8571428571428571,0.1428571428571429,1.0,0.27377080017720534,6.736556487969033,0.034745359352689194,0.5895100505705194
014bad7a2a6d8decbc7910be18af1bc535919cf4,SPC-001674,19,RELAB,7.233847016513685,4,1.047,1.9715643729023273,Trigonal,R-3c,0.7142857142857143,0.2857142857142857,0.04699999999999993,0.29489943632868304,7.233847016513685,0.0019038553069966682,0.6223483944817771
016caae635be1c100c494426a6fedd6e29af88d7,SPC-000345,5,RRUFF,7.322596106761923,4,1.284,6.824985679171509,Tetragonal,P4_2/mnm,0.5714285714285714,0.4285714285714286,0.28400000000000003,0.4774410051794612,7.322596106761923,0.0019038553069966682,0.7151626598776902
0172ce2450b3bf18144810b4093c4583e464d14a,SPC-000994,12,RELAB,7.084090013848504,3,1.027,16.11027882855177,Trigonal,P3121,0.7142857142857143,0.2857142857142857,0.026999999999999913,0.2861398828675395,7.084090013848504,0.0014278914802475012,0.5164364685729903
019335302582da34031ab4aafe63692e11720611,SPC-001619,19,RELAB,6.835667664950767,2,1.236,1.9511255406402304,Trigonal,R-3c,0.7142857142857143,0.2857142857142857,0.236,0.30539544450787104,6.835667664950767,0.0009519276534983341,0.5261484933914968
01b3314979adcc7fc0a7014cdb673c0dc4ab2e84,SPC-001525,17,USGS,7.034461527393745,3,1.026,5.461207638512775,Triclinic,C1,0.14285714285714285,0.8571428571428572,0.026000000000000023,0.844811963086838,7.034461527393745,0.0014278914802475012,0.6362901171372388
01bf750b98f6e5647d68eb48e174b12e6145ed74,SPC-001045,12,RELAB,7.095285861007344,5,1.302,2.383649204435942,Trigonal,P3121,0.7142857142857143,0.2857142857142857,0.30200000000000005,0.3249515736197843,7.095285861007344,0.002379819133745835,0.6324620339965086
01fd055a37a9f3c63ec33877e22e4a5b78d7d3b5,SPC-000989,12,RELAB,6.192055364163277,1,1.0,10.710212713142166,Trigonal,P3121,0.7142857142857143,0.2857142857142857,0.0,0.24681643514854057,6.192055364163277,0.00047596382674916705,0.18815207787301458
0222500c48c55be4751f89ee0155b92a5f076e17,SPC-000820,10,RRUFF,6.450967533567381,46,1.753,2.079920811793843,Orthorhombic,Pbca,0.42857142857142855,0.5714285714285714,0.7529999999999999,0.6193249428641583,6.450967533567381,0.021894336030461686,0.5783556179564724
026c142c845fe27a037266fecae123b64e96056e,SPC-000849,10,USGS,7.239322943618944,4,1.036,1.2645918311933453,Orthorhombic,Pbca,0.42857142857142855,0.5714285714285714,0.03600000000000003,0.5821437991909723,7.239322943618944,0.0019038553069966682,0.6963584619590746
02747bf3026ce5e34371a2c9615a2b02103bb4e9,SPC-001263,15,RELAB,7.495033928580284,6,1.13,3.3391339644315337,Monoclinic,C2/m,0.2857142857142857,0.7142857142857143,0.1299999999999999,0.7650198663164833,7.495033928580284,0.0028557829604950024,0.8143303263046342
02d4e41b91cfe0abd3e68d8967847b7b96e36919,SPC-001197,14,RELAB,6.589969062747713,2,1.027,1.0373938463646812,Monoclinic,C2/m,0.2857142857142857,0.7142857142857143,0.026999999999999913,0.6604601529092687,6.589969062747713,0.0009519276534983341,0.4928874093164694
030661f7ffed9be96ccad41356e723622c88a32b,SPC-001420,16,USGS,7.146744042743818,3,1.04,2.9246409241352165,Triclinic,C1,0.14285714285714285,0.8571428571428572,0.040000000000000036,0.8601919153363116,7.146744042743818,0.0014278914802475012,0.6965449203334251
03445aae78e07305c00fe01d49f15dbf4a178e52,SPC-000498,7,RELAB,7.452471802360881,4,1.137,5.894283112322211,Monoclinic,C2/c,0.2857142857142857,0.7142857142857143,0.137,0.7617551057782624,7.452471802360881,0.0019038553069966682,0.7871336960134742
03891c642aaa97e8e3543a419efe0e35380350b6,SPC-001050,12,RELAB,6.541991750982361,3,1.357,2.401601332201736,Trigonal,P3121,0.7142857142857143,0.2857142857142857,0.357,0.31057025581466,6.541991750982361,0.0014278914802475012,0.44370239927599664
039137861c23ae9eaa936c564820930f8277e380,SPC-000040,1,USGS,7.365742138781653,4,1.015,4.058027004603152,Cubic,Ia-3d,1.0,0.0,0.014999999999999902,0.002092659397119146,7.365742138781653,0.0019038553069966682,0.5820978869839064
039c3dc792309feff3c5f8dbf72b4b112580f98f,SPC-000261,4,RELAB,6.518078159544979,2,1.036,10.363379864814537,Cubic,Fd-3m,1.0,0.0,0.03600000000000003,0.005022382553085987,6.518078159544979,0.0009519276534983341,0.2578131441963377
03af84b0ab3dbe06340221a658839e5ebaa17adf,SPC-000096,1,USGS,6.574594580289023,3,1.056,1.1336091382686477,Cubic,Ia-3d,1.0,0.0,0.05600000000000005,0.007812595082578202,6.574594580289023,0.0014278914802475012,0.3419199918613744
041b77f2acd436a8d4d9da0c20027d952115bf0d,SPC-000603,8,RELAB,7.274097791647801,3,1.182,2.4376957874745098,Monoclinic,C2/c,0.2857142857142857,0.7142857142857143,0.18199999999999994,0.7502580339829266,7.274097791647801,0.0014278914802475012,0.7557668298731622
041c1bd6e2cb13e772afd9bd7899d0d0d5ae46d6,SPC-001159,14,RELAB,7.065627944110359,3,1.011,1.9640338009887126,Monoclinic,C2/m,0.2857142857142857,0.7142857142857143,0.010999999999999899,0.705627603262186,7.065627944110359,0.0014278914802475012,0.6411638858165138
0477b1db3d578acbc3a994d1ae12cc89d1cb74da,SPC-000393,5,USGS,7.3882134768785255,3,1.079,1.6738087673992752,Tetragonal,P4_2/mnm,0.5714285714285714,0.4285714285714286,0.07899999999999996,0.45276460692898746,7.388213476878525,0.0014278914802475012,0.7226358268516526
04a5a41fecfc7adfeaa0d8da373b1680f2b5a32f,SPC-000856,10,USGS,7.322433060738828,3,1.04,10.243838069527383,Orthorhombic,Pbca,0.42857142857142855,0.5714285714285714,0.040000000000000036,0.5893274099858842,7.322433060738828,0.0014278914802475012,0.6738514865821559
04c6168965b5fb68645441010a6d400fdf62c737,SPC-001452,17,RELAB,7.5530813959544165,5,1.048,1.1383159417106683,Triclinic,C1,0.14285714285714285,0.8571428571428572,0.04800000000000004,0.9098980392393474,7.553081395954416,0.002379819133745835,0.8782312485165372
050b8ede397de5c7c3e58f7602e559e850e4aeab,SPC-001163,14,RELAB,6.70910284324464,3,1.023,3.311086884233775,Monoclinic,C2/m,0.2857142857142857,0.7142857142857143,0.02299999999999991,0.6717738449400953,6.70910284324464,0.0014278914802475012,0.49824623300267035
050d5a43fdfbf86ad446fa1514ea8229afa367d1,SPC-001247,14,USGS,6.396588445908723,4,1.083,1.4761546013981923,Monoclinic,C2/m,0.2857142857142857,0.7142857142857143,0.08299999999999996,0.6490022829895226,6.396588445908723,0.0019038553069966682,0.42410297603545183
050ddd4d42afb6ba18486ec31bda621ea48bb76f,SPC-000503,7,RELAB,7.118742702431025,5,1.081,7.043874518387258,Monoclinic,C2/c,0.2857142857142857,0.7142857142857143,0.08099999999999996,0.720686256549954,7.118742702431025,0.002379819133745835,0.646477053336961
057409cf98f0f5e7d828e321c72c4496646a2778,SPC-000819,10,RRUFF,7.123341406155552,38,1.588,4.384179444361739,Orthorhombic,Pbca,0.42857142857142855,0.5714285714285714,0.5880000000000001,0.649907575318668,7.123341406155552,0.018086625416468348,0.7612173104041394
